Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Trinidad and Tobago,South America,1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5","12,9","10,57","0,007","0,57","0,423"
Tunisia,Africa,10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6","15,52","5,13","0,132","0,318","0,55"
Turkey,Asia,70413958,780580,"90,2","0,92",0,"41,04",6700,"86,5","269,5","16,62","5,97","0,117","0,298","0,585"
Turkmenistan,Asia,5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6","27,61","8,6","0,209","0,38","0,411"
Turks and Caicos Is,South America,21152,430,"49,2","90,47","11,68","15,67",9600,"98,0","269,5","21,84","4,21",,,
Tuvalu,Oceania,11810,26,"454,2","92,31",0,"20,03",1100,,"59,3","22,18","7,11","0,166","0,272","0,562"
Uganda,Africa,28195754,236040,"119,5","0,00",0,"67,83",1400,"69,9","3,6","47,35","12,24","0,311","0,222","0,469"
Ukraine,Europe,46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9","8,82","14,39","0,187","0,452","0,361"
United Arab Emirates,Asia,2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3","18,96","4,4","0,04","0,585","0,375"
United Kingdom,Europe,60609153,244820,"247,6","5,08","2,19","5,16",27700,"99,0","543,5","10,71","10,13","0,005","0,237","0,758"
United States,North America,298444215,9631420,"31,0","0,21","3,41","6,5",37800,"97,0","898,0","14,14","8,26","0,01","0,204","0,787"
Uruguay,South America,3431932,176220,"19,5","0,37","-0,32","11,95",12800,"98,0","291,4","13,91","9,05","0,093","0,311","0,596"
Uzbekistan,Asia,27307134,447400,"61,0","0,00","-1,72","71,1",1700,"99,3","62,9","26,36","7,84","0,342","0,229","0,43"
Vanuatu,Oceania,208869,12200,"17,1","20,72",0,"55,16",2900,"53,0","32,6","22,72","7,82","0,26","0,12","0,62"
Venezuela,South America,25730435,912050,"28,2","0,31","-0,04","22,2",4800,"93,4","140,1","18,71","4,92","0,04","0,419","0,541"
Vietnam,Asia,84402966,329560,"256,1","1,05","-0,45","25,95",2500,"90,3","187,7","16,86","6,22","0,209","0,41","0,381"
Virgin Islands,South America,108605,1910,"56,9","9,84","-8,94","8,03",17200,,"652,8","13,96","6,43","0,01","0,19","0,8"
Wallis and Futuna,Oceania,16025,274,"58,5","47,08",,,3700,"50,0","118,6",,,,,
West Bank,Asia,2460492,5860,"419,9","0,00","2,98","19,62",800,,"145,2","31,67","3,92","0,09","0,28","0,63"
Western Sahara,Africa,273008,266000,"1,0","0,42",,,,,,,,,,"0,4"
Yemen,Asia,21456188,527970,"40,6","0,36",0,"61,5",800,"50,2","37,2","42,89","8,3","0,135","0,472","0,393"
Zambia,Africa,11502010,752614,"15,3","0,00",0,"88,29",800,"80,6","8,2",41,"19,93","0,22","0,29","0,489"
Zimbabwe,Africa,12236805,390580,"31,3","0,00",0,"67,69",1900,"90,7","26,8","28,01","21,84","0,179","0,243","0,579"
