Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Bahamas,South America,303770,13940,"21,8","25,41","-2,2","25,21",16700,"95,6","460,6","17,57","9,05","0,03","0,07","0,9"
Bahrain,Asia,698585,665,"1050,5","24,21","1,05","17,27",16900,"89,1","281,3","17,8","4,14","0,005","0,387","0,608"
Bangladesh,Asia,147365352,144000,"1023,4","0,40","-0,71","62,6",1900,"43,1","7,3","29,8","8,27","0,199","0,198","0,603"
Barbados,South America,279912,431,"649,5","22,51","-0,31","12,5",15700,"97,4","481,9","12,71","8,67","0,06","0,16","0,78"
Belarus,Europe,10293011,207600,"49,6","0,00","2,54","13,37",6100,"99,6","319,1","11,16","14,02","0,093","0,316","0,591"
Belgium,Europe,10379067,30528,"340,0","0,22","1,23","4,68",29100,"98,0","462,6","10,38","10,27","0,01","0,24","0,749"
Belize,South America,287730,22966,"12,5","1,68",0,"25,69",4900,"94,1","115,7","28,84","5,72","0,142","0,152","0,612"
Benin,Africa,7862944,112620,"69,8","0,11",0,85,1100,"40,9","9,7","38,85","12,22","0,316","0,138","0,546"
Bermuda,North America,65773,53,"1241,0","194,34","2,49","8,53",36000,"98,0","851,4","11,4","7,74","0,01","0,1","0,89"
Bhutan,Asia,2279723,47000,"48,5","0,00",0,"100,44",1300,"42,2","14,3","33,65","12,7","0,258","0,379","0,363"
Bolivia,South America,8989046,1098580,"8,2","0,00","-1,32","53,11",2400,"87,2","71,9","23,3","7,53","0,128","0,352","0,52"
Bosnia & Herzegovina,Europe,4498976,51129,"88,0","0,04","0,31","21,05",6100,,"215,4","8,77","8,27","0,142","0,308","0,55"
Botswana,Africa,1639833,600370,"2,7","0,00",0,"54,58",9000,"79,8","80,5","23,08","29,5","0,024","0,469","0,507"
Brazil,South America,188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","16,56","6,17","0,084","0,4","0,516"
British Virgin Island,South America,23098,153,"151,0","52,29","10,01","18,05",16000,"97,8","506,5","14,89","4,42","0,018","0,062","0,92"
Brunei,Asia,379444,5770,"65,8","2,79","3,59","12,61",18600,"93,9","237,2","18,79","3,45","0,036","0,561","0,403"
Bulgaria,Europe,7385367,110910,"66,6","0,32","-4,58","20,55",7600,"98,6","336,3","9,65","14,27","0,093","0,304","0,603"
Burkina Faso,Africa,13902972,274200,"50,7","0,00",0,"97,57",1100,"26,6","7,0","45,62","15,6","0,322","0,196","0,482"
Burma,Asia,47382633,678500,"69,8","0,28","-1,8","67,24",1800,"85,3","10,1","17,91","9,83","0,564","0,082","0,353"
Burundi,Africa,8090068,27830,"290,7","0,00","-0,06","69,29",600,"51,6","3,4","42,22","13,46","0,463","0,203","0,334"
Cambodia,Asia,13881427,181040,"76,7","0,24",0,"71,48",1900,"69,4","2,6","26,9","9,06","0,35","0,3","0,35"
Cameroon,Africa,17340702,475440,"36,5","0,08",0,"68,26",1800,"79,0","5,7","33,89","13,47","0,448","0,17","0,382"
Canada,North America,33098932,9984670,"3,3","2,02","5,96","4,75",29800,"97,0","552,2","10,78","7,8","0,022","0,294","0,684"
Cape Verde,Africa,420979,4033,"104,4","23,93","-12,07","47,77",1400,"76,6","169,6","24,87","6,55","0,121","0,219","0,66"
Cayman Islands,South America,45436,262,"173,4","61,07","18,75","8,19",35000,"98,0","836,3","12,74","4,89","0,014","0,032","0,954"
Central African Republic,Africa,4303356,622984,"6,9","0,00",0,91,1100,"51,0","2,3","33,91","18,65","0,55","0,2","0,25"
Chad,Africa,9944201,1284000,"7,7","0,00","-0,11","93,82",1200,"47,5","1,3","45,73","16,38","0,335","0,259","0,406"
Chile,South America,16134219,756950,"21,3","0,85",0,"8,8",9900,"96,2","213,0","15,23","5,81","0,06","0,493","0,447"
China,Asia,1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","13,25","6,97","0,125","0,473","0,403"
Colombia,South America,43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","20,48","5,58","0,125","0,342","0,533"
Comoros,Africa,690948,2170,"318,4","15,67",0,"74,93",700,"56,5","24,5","36,93","8,2","0,4","0,04","0,56"
"Congo, Democratic Republic",Africa,62660551,2345410,"26,7","0,00",0,"94,69",700,"65,5","0,2","43,69","13,27","0,55","0,11","0,34"
"Congo, Republic of the",Africa,3702314,342000,"10,8","0,05","-0,17","93,86",700,"83,8","3,7","42,57","12,93","0,062","0,57","0,369"
Cook Islands,Oceania,21388,240,"89,1","50,00",,,5000,"95,0","289,9",21,,"0,151","0,096","0,753"
Costa Rica,South America,4075261,51100,"79,8","2,52","0,51","9,95",9100,"96,0","340,7","18,32","4,36","0,088","0,299","0,614"
Cote d Ivoire,Africa,17654843,322460,"54,8","0,16","-0,07","90,83",1400,"50,9","14,6","35,11","14,84","0,279","0,171","0,55"
Croatia,Europe,4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","9,61","11,48","0,07","0,308","0,622"
Cuba,South America,11382820,110860,"102,7","3,37","-1,58","6,33",2900,"97,0","74,7","11,89","7,22","0,055","0,261","0,684"
Cyprus,Asia,784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6",,"12,56","7,68","0,037","0,198","0,765"
Czech Republic,Europe,10235455,78866,"129,8","0,00","0,97","3,93",15700,"99,9","314,3","9,02","10,59","0,034","0,393","0,573"
